#,case,U1,U2,U3,U4,U5,U6,U7,V8,U9,Y1,Y2,Y1+Y2,Y3,Y1+Y2+Y3
29103,29104,14.23296971,0.779217008,6.799025282,0.763373646,12.22001781,0.742184325,24.8408341,24.96168594,19,55955.96096,8573.09307,64529.05403,44585.57364,109114.6277
36537,36538,13.02161054,0.874369061,6.115533466,0.795197476,12.39732623,0.9900008,24.19035826,27.9638186,18,62387.71742,6446.96196,68834.67938,55307.72052,124142.3999
39328,39329,14.00578111,0.799569634,4.988919925,0.825907165,13.39940265,0.864446107,25.30127851,20.81027196,17,46909.83623,4796.98209,51706.81832,47451.81693,99158.63525
35539,35540,12.03001242,0.827149974,6.080954381,0.846543869,14.69996961,0.896279403,24.18413374,24.33920784,17,57460.14679,5993.09904,63453.24583,53974.59057,117427.8364
28075,28076,14.88692425,0.922127542,5.670568322,0.871032156,11.97277983,0.927189895,24.42902461,24.6547009,17,50867.93143,5750.30808,56618.23951,45477.14568,102095.3852
17840,17841,14.75816352,0.885392908,7.175447563,0.817102867,13.57112349,0.808876957,24.74311702,27.01388441,19,60488.28887,9684.55299,70172.84186,53964.60726,124137.4491
27802,27803,11.93543297,0.874942807,5.595589958,0.888947999,12.52937875,0.977401928,25.13098666,21.60164504,17,52364.57337,5790.98688,58155.56025,50168.62776,108324.188
7682,7683,13.59142888,0.855431949,6.846138786,0.76376277,12.11795136,0.915686318,24.45945209,24.51042607,17,52025.7654,6087.43527,58113.20067,45457.48644,103570.6871
24279,24280,12.28369455,0.807296366,7.185313002,0.916731278,13.33786092,0.795444603,24.17612818,23.09038746,19,63410.66171,10880.31678,74290.97849,52156.31034,126447.2888
33070,33071,11.14381364,0.815036261,4.874227942,0.831786164,11.55952358,0.879900901,23.60844409,22.56657929,18,61211.54638,5374.81398,66586.36036,45834.85752,112421.2179
35557,35558,12.20506347,0.831228439,5.823077195,0.785027835,11.42832807,0.788159376,24.51265307,27.54673648,17,53326.44932,5321.91519,58648.36451,36899.988,95548.35251
37189,37190,11.75704893,0.853619723,5.798808105,0.797914938,11.66298753,0.798842685,24.87014644,22.10812992,18,54872.51731,6133.96083,61006.47814,41984.91321,102991.3914
47149,47150,15.78455754,0.761149447,5.107642492,0.762663437,12.04967759,0.812671444,23.66511308,27.27566568,17,50535.48906,4535.06817,55070.55723,40116.21285,95186.77008
46915,46916,12.0075662,0.807856194,6.581332378,0.87159124,12.98004738,0.930529872,24.90560359,24.82295357,18,59358.93878,7604.53215,66963.47093,54428.80338,121392.2743
9801,9802,12.7344344,0.805648278,6.098155058,0.968293527,14.19979799,0.733787238,25.54251096,27.8931783,18,55768.8799,7828.00722,63596.88712,46954.20468,110551.0918
38800,38801,13.49248762,0.864810792,7.592038213,0.746103532,13.64186329,0.932974374,25.56980177,26.57214359,18,56783.73857,7509.36534,64293.10391,57354.24675,121647.3507
24669,24670,13.16974463,0.863534105,7.53717183,0.795233207,12.77994009,0.887063517,24.87083134,23.72150519,17,51515.78492,6978.03612,58493.82104,46442.22732,104936.0484
44233,44234,12.46440434,0.813863087,5.872394454,0.818946096,11.42655707,0.844224789,25.58677649,28.9940191,17,50855.64168,5598.87438,56454.51606,39518.73153,95973.24759
31919,31920,15.23616816,0.757474004,8.125365701,0.834178167,14.35167626,0.935364994,25.25097477,23.71359616,17,49499.23042,7891.0005,57390.23092,54993.73839,112383.9693
