#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting,Cooling+Lighting,Equipment,Total
821,822,60,1.107713264,0.50320308,0.829088783,0.423088422,0.30073592,1.894141804,0.652120565,0.566555764,0.59274063,0.425837811,0.502509619,71571.27589,12695.16024,84266.43613,51617.8656,135884.3017
15118,15119,160,0.497440139,0.718094277,1.168245142,0.170883463,0.379513978,1.258544541,0.401993102,0.30615676,0.605989177,0.618064535,0.613175696,67801.57302,11915.89308,79717.4661,51617.8656,131335.3317
13466,13467,30,0.549514388,0.456644385,0.527743139,0.459685405,0.200329249,1.261877077,0.475663154,0.367336874,0.483455288,0.557228946,0.47476568,67460.76599,13965.00588,81425.77187,51617.8656,133043.6375
26497,26498,170,0.426941373,0.46696309,1.068563234,0.171213513,0.425459558,2.958782488,0.562410094,0.623092517,0.509549411,0.484560582,0.69868452,65604.80664,11382.46452,76987.27116,51617.8656,128605.1368
42111,42112,270,0.886514024,0.701283025,0.692744886,0.22883277,0.30952911,1.034513593,0.51119439,0.377736929,0.596335048,0.418121763,0.43372874,69090.31054,14514.36588,83604.67642,51617.8656,135222.542
30188,30189,350,0.433992228,0.446789094,0.820828334,0.438345021,0.340297309,1.032891611,0.34728713,0.481352742,0.436001406,0.537671539,0.588508938,69746.90038,13191.507,82938.40738,51617.8656,134556.273
37237,37238,240,0.875596526,0.722786437,1.11944501,0.275038633,0.263720369,2.59058082,0.428428536,0.454245182,0.427543229,0.621020931,0.626508043,66323.2409,11887.60104,78210.84194,51617.8656,129828.7075
33109,33110,170,0.554266919,0.450930054,0.431145621,0.467532039,0.482215218,1.959258534,0.51960622,0.404741442,0.580371861,0.476152613,0.600111535,74297.62749,12333.68136,86631.30885,51617.8656,138249.1745
36480,36481,90,0.849362956,0.455138186,0.789127506,0.477885565,0.490703698,2.114302112,0.421653275,0.442005487,0.438652166,0.407002235,0.628232513,73812.73772,13014.3384,86827.07612,51617.8656,138444.9417
24148,24149,310,0.597399574,0.763097235,1.178139168,0.383723023,0.412925771,1.918050149,0.446428198,0.45570584,0.493323584,0.50521626,0.659703076,71222.85412,12018.07404,83240.92816,51617.8656,134858.7938
5503,5504,40,0.575128968,0.497220989,1.082759369,0.410144629,0.426770476,1.334267123,0.604970917,0.278944195,0.417817182,0.362071301,0.639932931,70133.3686,13242.3228,83375.6914,51617.8656,134993.557
3918,3919,230,0.702153589,0.685987025,0.896964488,0.235124678,0.334054915,2.147162857,0.55681338,0.519384426,0.323623209,0.484553255,0.574948819,67232.71183,13288.19436,80520.90619,51617.8656,132138.7718
38478,38479,30,0.431164188,0.421567979,0.523874238,0.303920452,0.389734698,1.49081743,0.47367089,0.298156839,0.59848503,0.491835552,0.716775418,70338.37144,11479.42656,81817.798,51617.8656,133435.6636
21123,21124,100,0.695031197,0.474287639,0.490956692,0.288616996,0.372104535,2.436123545,0.406223943,0.54731065,0.534927261,0.431545846,0.67212395,70096.86668,11893.36932,81990.236,51617.8656,133608.1016
49717,49718,360,0.916243097,0.723962813,0.920010713,0.159294725,0.193402187,2.181144377,0.294310507,0.376609639,0.355994676,0.506358259,0.750211449,60689.22492,12583.0908,73272.31572,51617.8656,124890.1813
42294,42295,30,0.666688202,0.588142004,0.937255701,0.183849552,0.324427316,2.804305224,0.342470755,0.354200721,0.539459217,0.506318227,0.608544325,65179.36547,12577.5972,77756.96267,51617.8656,129374.8283
47609,47610,150,0.899762039,0.692326558,0.590767892,0.407880713,0.29741453,1.429498813,0.465874198,0.607942272,0.417239169,0.386186901,0.508936429,69495.83196,14480.30556,83976.13752,51617.8656,135594.0031
11076,11077,350,1.001021907,0.638691362,0.772602504,0.211349519,0.45225307,2.395632455,0.575025939,0.527493439,0.448070021,0.458427577,0.616921507,67979.39344,12577.32252,80556.71596,51617.8656,132174.5816
41514,41515,140,1.05893168,0.619712218,0.733214181,0.413824187,0.425401674,2.482828399,0.445366185,0.495048891,0.419198777,0.466875978,0.57513228,71251.24644,13270.06548,84521.31192,51617.8656,136139.1775
22062,22063,20,0.86032787,0.587117721,0.510415152,0.198191941,0.388302335,2.027373552,0.511122748,0.526035199,0.417486115,0.436658331,0.500008913,67523.47478,14136.13152,81659.6063,51617.8656,133277.4719
9413,9414,0,0.813663962,0.565388644,1.141559842,0.423539134,0.274341709,1.419916424,0.560884251,0.458818089,0.425340316,0.393799682,0.475109356,67623.53569,15007.1418,82630.67749,51617.8656,134248.5431
38340,38341,350,0.695638982,0.7445257,1.176569876,0.256638962,0.328401267,1.000474334,0.261534959,0.511569818,0.515341457,0.530133464,0.49449411,67192.69248,14031.75312,81224.4456,51617.8656,132842.3112
30263,30264,170,0.64385905,0.768916628,0.856459315,0.295108777,0.421008553,2.113130691,0.373815265,0.487053957,0.5336691,0.337373625,0.462554838,68068.25242,15187.0572,83255.30962,51617.8656,134873.1752
41252,41253,240,0.686798674,0.569346774,0.926084035,0.196932306,0.354735876,2.320913073,0.478534521,0.439857368,0.338023106,0.54528088,0.517991697,67853.77857,13708.45476,81562.23333,51617.8656,133180.0989
14644,14645,350,0.404923451,0.789810912,0.709483639,0.190584919,0.331530496,2.782895709,0.272949452,0.257235113,0.441325822,0.469985903,0.485677979,64112.83862,15493.05072,79605.88934,51617.8656,131223.7549
26335,26336,360,0.792866857,0.773931202,0.982859171,0.283417622,0.199567554,2.344936547,0.265636488,0.331897559,0.519058901,0.385796243,0.623371387,62171.1911,13467.5604,75638.7515,51617.8656,127256.6171
28102,28103,210,0.872443754,0.529764913,0.527607902,0.257672002,0.273083069,2.972113959,0.507244922,0.575418806,0.626251696,0.478070904,0.497597286,66396.72761,12803.65884,79200.38645,51617.8656,130818.2521
17523,17524,0,0.788714185,0.610856773,0.870968141,0.444880179,0.371052083,1.12770943,0.382607228,0.570441174,0.576532763,0.438881902,0.6150781,71676.96229,12328.46244,84005.42473,51617.8656,135623.2903
24712,24713,230,0.857738576,0.69585632,0.764251509,0.213372104,0.306350808,2.348741072,0.471927964,0.382992159,0.407248214,0.477886398,0.56492549,66439.35097,13435.69752,79875.04849,51617.8656,131492.9141
40485,40486,260,1.149385572,0.59413812,0.80966886,0.340265248,0.222188184,1.683947237,0.377755902,0.35877756,0.612190201,0.5674794,0.623560081,66687.88187,11575.56456,78263.44643,51617.8656,129881.312
3850,3851,220,0.743319342,0.711319857,0.638383332,0.341775992,0.214565566,1.273566209,0.489362188,0.529858201,0.453260933,0.446293412,0.567554419,66755.77797,13428.00648,80183.78445,51617.8656,131801.6501
40040,40041,290,0.976751561,0.679393736,0.955621998,0.313866793,0.393248821,1.531578086,0.493309574,0.541953618,0.456099914,0.645077812,0.49255037,73432.69505,12777.01488,86209.70993,51617.8656,137827.5755
15267,15268,310,0.621532215,0.584161354,0.544391251,0.29105557,0.481500715,1.957842206,0.545757938,0.401345673,0.386400733,0.398604112,0.474342577,71375.31787,15093.39132,86468.70919,51617.8656,138086.5748
