#,Job_ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,c0: Cooling,c1: Interior Lighting,c2: Interior Equipment,Total energy consumption
0,EP_G000000000,14.39911709,0.718599408,8.177898325,0.772921724,13.08698547,0.921118831,24.3082827,23.08947193,17,155907.19,22504,151020.89,329432.08
1,EP_G000000001,13.46509237,0.933266108,6.392510947,0.809027348,13.28862399,0.720257057,23.68057088,25.08860124,19,194197.99,26124.06,143889.97,364212.02
2,EP_G000000002,14.36832024,0.939088845,7.742126557,0.922164104,13.31248677,0.944674266,25.32327644,28.8158894,19,193632.55,36064.05,189062.01,418758.61
3,EP_G000000003,13.2345743,0.821960988,7.285128622,0.831474931,12.39797701,0.7732332,23.71617372,24.61252503,17,162541.18,21565.97,120100.02,304207.17
4,EP_G000000004,13.97868008,0.791476377,7.493433544,0.827747772,11.32913376,0.980639057,24.67115249,23.07475042,17,152512.47,22083.17,139183.46,313779.1
5,EP_G000000005,11.63887937,0.914407677,5.399501848,0.941278929,13.8319225,0.774608201,25.33592172,21.6295641,19,184860.01,25673.09,161074.81,371607.91
6,EP_G000000006,11.04165039,0.835140656,6.214127719,0.883438827,12.02081819,0.91655971,24.70112679,23.24862235,18,183458.41,22256.39,151834.07,357548.87
7,EP_G000000007,11.84122331,0.751342598,4.626179943,0.756249953,14.02977119,0.913345107,24.62218947,23.33976943,18,181364.99,14183.58,176587.49,372136.06
8,EP_G000000008,13.69762224,0.887738555,6.497381121,0.765218658,12.4022714,0.804845406,24.19820666,25.57844945,17,159570.68,17701.35,125053.38,302325.41
9,EP_G000000009,14.86167559,0.889170903,5.149009203,0.940940646,12.71346851,0.731010607,24.86865394,23.35416071,17,142757.38,17249.18,116431.23,276437.79
10,EP_G000000010,14.58786096,0.817199278,7.32300771,0.764996956,12.696081,0.780746188,23.91431223,29.09991818,17,162505.6,19944.89,124182.76,306633.25
11,EP_G000000011,14.4403543,0.720601541,5.87320737,0.833193112,13.40157311,0.763090905,24.89908143,21.64566634,17,140849.18,17422.22,128119.08,286390.48
12,EP_G000000012,15.49177763,0.77754173,5.864684798,0.824031553,13.14683989,0.787074716,24.98173453,25.37764965,17,143565.47,17205.65,129634.05,290405.17
13,EP_G000000013,13.99381615,0.899453558,5.820929032,0.760709892,14.41746447,0.883765875,23.41845328,27.1263088,18,193676.15,17951.86,175590.31,387218.32
14,EP_G000000014,13.59264719,0.978655579,6.063239156,0.794575024,14.60100816,0.819925146,24.11748293,23.27765932,19,196182.54,24335.8,179978.26,400496.6
15,EP_G000000015,13.90003865,0.805302877,5.443544329,0.754274853,13.18727674,0.937725043,24.86818037,24.76926154,18,171176.24,16645.98,170413.92,358236.14
16,EP_G000000016,14.79403437,0.853783789,5.762310412,0.846554197,11.89739372,0.874029132,25.3474779,26.50871427,19,173205.13,24640.95,156329.43,354175.51
17,EP_G000000017,13.73834567,0.810314432,7.442388743,0.812551053,10.83641901,0.978864411,24.32735819,23.63920437,17,156147.26,21530.07,132889.32,310566.65
18,EP_G000000018,15.49137084,0.813005423,7.24155065,0.800735345,10.58677865,0.714640863,25.15300366,24.43415397,17,132854.04,20644.44,94783.65,248282.13
19,EP_G000000019,14.79314854,0.845892191,6.962535637,0.849940966,13.42194381,0.980756324,24.63356107,25.38546014,19,191088.79,29892.5,197897.14,418878.43
20,EP_G000000020,13.64074772,0.789282067,6.485191258,0.818835961,11.87706981,0.823499431,24.95014815,22.06777777,18,157717.52,21528.7,134786.7,314032.92
21,EP_G000000021,14.18256147,0.961914175,7.162955636,0.87789208,11.96207369,0.891145651,25.10943379,22.41820527,17,149260,22388.03,133547.85,305195.88
22,EP_G000000022,13.88968756,0.774415623,4.734428998,0.733484783,12.74548433,0.750771257,24.14322907,24.66587158,19,179396.48,17541.42,143855.67,340793.57
23,EP_G000000023,11.63044325,0.765616612,6.335522708,0.830444041,12.977657,0.971131463,25.19839527,26.28856013,18,184310.72,21330,173679.57,379320.29
24,EP_G000000024,13.55212328,0.936356736,7.224133761,0.787590261,13.35138972,0.729519089,24.21071779,23.33536275,19,185951.57,28740.36,146428.67,361120.6
25,EP_G000000025,14.74864878,0.890299346,5.230009826,0.80667617,13.68740101,0.994324338,23.69992548,22.00430356,18,181145.17,17104.08,187552.77,385802.02
26,EP_G000000026,12.5521702,0.763197557,7.456726634,0.787831334,13.03432047,0.82594091,24.84077273,20.80564632,18,165078.18,23816.59,148358.28,337253.05
